Attendee_ID,Career_Stage,Geographic_Region,CAS_Credential_Status
A0783,Senior,Mid-West,Credentialed
A0784,Mid-Career,North East,Credentialed
A0785,Mid-Career,West,Associate
A0786,Entry-Level,Mid-West,Non-Member
A0787,Mid-Career,South,Credentialed
A0788,Senior,International,Non-Member
A0789,Senior,Mid-West,Non-Member
A0790,Mid-Career,North East,Associate
A0791,Entry-Level,International,Credentialed
A0792,Student,North East,Credentialed
A0793,Mid-Career,International,Non-Member
A0794,Entry-Level,International,Credentialed
A0795,Entry-Level,South,Credentialed
A0796,Entry-Level,West,Credentialed
A0797,Mid-Career,North East,Non-Member
A0798,Mid-Career,Mid-West,Non-Member
A0799,Senior,South,Credentialed
A0800,Student,South,Non-Member
A0801,Mid-Career,International,Associate
A0802,Student,South,Associate
A0803,Senior,South,Credentialed
A0804,Mid-Career,North East,Non-Member
A0805,Student,North East,Credentialed
A0806,Executive,North East,Credentialed
A0807,Mid-Career,North East,Associate
A0808,Mid-Career,West,Non-Member
A0809,Mid-Career,Mid-West,Associate
A0810,Senior,South,Non-Member
A0811,Student,Mid-West,Non-Member
A0812,Senior,North East,Credentialed
A0813,Student,North East,Credentialed
A0814,Entry-Level,West,Credentialed
A0815,Student,North East,Non-Member
A0816,Mid-Career,North East,Credentialed
A0817,Mid-Career,West,Non-Member
A0818,Senior,Mid-West,Credentialed
A0819,Senior,South,Credentialed
A0820,Senior,Mid-West,Associate
A0821,Entry-Level,South,Associate
A0822,Senior,North East,Non-Member
A0823,Student,North East,Credentialed
A0824,Mid-Career,International,Non-Member
A0825,Senior,South,Credentialed
A0826,Student,Mid-West,Non-Member
A0827,Mid-Career,West,Credentialed
A0828,Senior,South,Associate
A0829,Student,South,Non-Member
A0830,Executive,South,Credentialed
A0831,Mid-Career,West,Credentialed
A0832,Student,International,Credentialed
A0833,Entry-Level,North East,Non-Member
A0834,Mid-Career,West,Associate
A0835,Student,South,Credentialed
A0836,Student,North East,Associate
A0837,Entry-Level,Mid-West,Credentialed
A0838,Entry-Level,North East,Associate
A0839,Mid-Career,South,Non-Member
A0840,Mid-Career,West,Credentialed
A0841,Entry-Level,Mid-West,Non-Member
A0842,Student,International,Non-Member
A0843,Student,Mid-West,Credentialed
A0844,Mid-Career,International,Credentialed
A0845,Mid-Career,North East,Credentialed
A0846,Entry-Level,South,Associate
A0847,Mid-Career,South,Credentialed
A0848,Entry-Level,Mid-West,Associate
A0849,Student,South,Credentialed
A0850,Executive,South,Associate
A0851,Mid-Career,South,Associate
A0852,Mid-Career,International,Credentialed
A0853,Executive,South,Associate
A0854,Senior,North East,Associate
A0855,Entry-Level,Mid-West,Non-Member
A0856,Executive,Mid-West,Associate
A0857,Mid-Career,South,Non-Member
A0858,Senior,South,Non-Member
A0859,Mid-Career,North East,Credentialed
A0860,Mid-Career,International,Associate
A0861,Entry-Level,West,Non-Member
A0862,Entry-Level,North East,Non-Member
A0863,Entry-Level,North East,Associate
A0864,Senior,Mid-West,Credentialed
A0865,Senior,North East,Associate
A0866,Entry-Level,International,Associate
A0867,Mid-Career,South,Associate
A0868,Mid-Career,North East,Associate
A0869,Senior,International,Credentialed
A0870,Entry-Level,West,Credentialed
A0871,Entry-Level,North East,Credentialed
A0872,Student,Mid-West,Credentialed
A0873,Mid-Career,South,Credentialed
A0874,Mid-Career,Mid-West,Credentialed
A0875,Entry-Level,Mid-West,Non-Member
A0876,Senior,South,Credentialed
A0877,Senior,South,Associate
A0878,Senior,South,Associate
A0879,Student,Mid-West,Associate
A0880,Entry-Level,South,Associate
A0881,Entry-Level,West,Non-Member
A0882,Senior,Mid-West,Non-Member
A0883,Mid-Career,International,Non-Member
A0884,Mid-Career,Mid-West,Associate
A0885,Mid-Career,South,Non-Member
A0886,Student,Mid-West,Associate
A0887,Senior,Mid-West,Credentialed
A0888,Entry-Level,International,Associate
A0889,Student,West,Credentialed
A0890,Senior,Mid-West,Associate
A0891,Executive,International,Credentialed
A0892,Student,Mid-West,Non-Member
A0893,Senior,South,Non-Member
A0894,Mid-Career,South,Non-Member
A0895,Student,West,Credentialed
A0896,Mid-Career,North East,Credentialed
A0897,Entry-Level,West,Non-Member
A0898,Senior,International,Credentialed
A0899,Entry-Level,Mid-West,Credentialed
A0900,Entry-Level,North East,Credentialed
A0901,Entry-Level,South,Non-Member
A0902,Entry-Level,North East,Non-Member
A0903,Mid-Career,North East,Credentialed
A0904,Mid-Career,North East,Credentialed
A0905,Entry-Level,International,Associate
A0906,Senior,West,Credentialed
A0907,Student,North East,Non-Member
A0908,Senior,International,Non-Member
A0909,Mid-Career,North East,Credentialed
A0910,Mid-Career,Mid-West,Non-Member
A0911,Student,West,Associate
A0912,Student,Mid-West,Associate
A0913,Entry-Level,South,Credentialed
A0914,Senior,South,Associate
A0915,Mid-Career,North East,Associate
A0916,Mid-Career,Mid-West,Credentialed
A0917,Mid-Career,South,Associate
A0918,Mid-Career,International,Associate
A0919,Student,North East,Associate
A0920,Executive,Mid-West,Associate
A0921,Student,Mid-West,Non-Member
A0922,Entry-Level,North East,Non-Member
A0923,Senior,North East,Non-Member
A0924,Mid-Career,South,Associate
A0925,Mid-Career,Mid-West,Credentialed
A0926,Student,West,Associate
A0927,Senior,International,Non-Member
A0928,Senior,South,Credentialed
A0929,Entry-Level,International,Credentialed
A0930,Senior,International,Associate
A0931,Student,North East,Non-Member
A0932,Executive,Mid-West,Credentialed
A0933,Senior,West,Credentialed
A0934,Senior,West,Associate
A0935,Executive,Mid-West,Credentialed
A0936,Senior,West,Non-Member
A0937,Mid-Career,International,Associate
A0938,Student,South,Non-Member
A0939,Entry-Level,West,Non-Member
A0940,Mid-Career,South,Non-Member
A0941,Entry-Level,Mid-West,Associate
A0942,Mid-Career,West,Associate
A0943,Student,North East,Associate
A0944,Mid-Career,Mid-West,Non-Member
A0945,Senior,Mid-West,Non-Member
A0946,Student,South,Associate
A0947,Senior,West,Credentialed
A0948,Senior,International,Credentialed
A0949,Entry-Level,South,Associate
A0950,Senior,Mid-West,Associate
A0951,Mid-Career,Mid-West,Credentialed
A0952,Mid-Career,South,Credentialed
A0953,Entry-Level,South,Credentialed
A0954,Mid-Career,Mid-West,Associate
A0955,Executive,West,Non-Member
A0956,Mid-Career,Mid-West,Associate
A0957,Entry-Level,Mid-West,Associate
A0958,Executive,North East,Credentialed
A0959,Mid-Career,South,Non-Member
A0960,Mid-Career,North East,Associate
A0961,Senior,International,Associate
A0962,Entry-Level,West,Non-Member
A0963,Student,International,Non-Member
A0964,Senior,West,Non-Member
A0965,Senior,North East,Associate
A0966,Student,International,Non-Member
A0967,Entry-Level,International,Associate
A0968,Senior,North East,Non-Member
A0969,Senior,International,Associate
A0970,Mid-Career,Mid-West,Non-Member
A0971,Entry-Level,International,Credentialed
A0972,Student,West,Non-Member
A0973,Executive,South,Non-Member
A0974,Senior,International,Associate
A0975,Mid-Career,International,Credentialed
A0976,Executive,South,Credentialed
A0977,Senior,South,Credentialed
A0978,Student,International,Credentialed
A0979,Student,Mid-West,Non-Member
A0980,Entry-Level,South,Credentialed
A0981,Executive,International,Non-Member
A0982,Mid-Career,North East,Credentialed
A0983,Mid-Career,South,Associate
A0984,Senior,South,Associate
A0985,Mid-Career,South,Non-Member
A0986,Entry-Level,International,Associate
A0987,Mid-Career,International,Non-Member
A0988,Mid-Career,North East,Associate
A0989,Executive,South,Non-Member
A0990,Senior,South,Associate
A0991,Entry-Level,South,Credentialed
A0992,Mid-Career,North East,Associate
A0993,Executive,Mid-West,Associate
A0994,Senior,West,Associate
A0995,Entry-Level,Mid-West,Associate
A0996,Senior,Mid-West,Credentialed
A0997,Senior,South,Associate
A0998,Senior,West,Non-Member
A0999,Mid-Career,Mid-West,Associate
A1000,Entry-Level,International,Non-Member
