Attendee_ID,Event_ID,Registration_Date,Event_Date,Event_Type,Location,Topic,Career_Stage,Geographic_Region,CAS_Credential_Status,First_Time_Attendee_Flag,Member_Status
A0314,E032,2022-02-13,2024-05-20,Annual Meeting,Chicago,Topic 10,Senior,Mid-West,Non-Member,False,Non-Member
A0903,E105,2022-09-28,2024-12-02,Seminar,Miami,Topic 12,Mid-Career,North East,Credentialed,False,Member
A0180,E006,2022-03-13,2023-04-05,Webinar,Online,Topic 12,Senior,North East,Credentialed,True,Member
A0090,E158,2022-05-07,2023-01-24,Annual Meeting,San Francisco,Topic 17,Mid-Career,North East,Associate,True,Member
A0682,E051,2022-02-26,2024-07-17,Workshop,Chicago,Topic 8,Entry-Level,Mid-West,Credentialed,True,Member
A0720,E041,2022-03-04,2023-03-18,Local Chapter Event,Chicago,Topic 3,Entry-Level,West,Non-Member,False,Non-Member
A0667,E028,2022-07-07,2024-11-22,Annual Meeting,Miami,Topic 3,Mid-Career,International,Non-Member,False,Non-Member
A0114,E199,2022-03-31,2022-06-22,Webinar,Online,Topic 6,Senior,North East,Non-Member,False,Non-Member
A0986,E074,2022-06-26,2023-12-01,Local Chapter Event,Miami,Topic 1,Entry-Level,International,Associate,False,Member
A0427,E117,2023-03-06,2023-03-31,Local Chapter Event,Houston,Topic 19,Senior,South,Credentialed,True,Member
A0344,E168,2022-04-08,2022-07-24,Seminar,San Francisco,Topic 16,Student,Mid-West,Non-Member,True,Non-Member
A0657,E057,2024-06-08,2024-11-26,Local Chapter Event,New York,Topic 9,Senior,South,Credentialed,False,Member
A0318,E137,2022-01-18,2022-02-16,Webinar,Online,Topic 14,Senior,International,Credentialed,True,Member
A0117,E050,2022-03-27,2022-05-27,Workshop,Houston,Topic 9,Executive,Mid-West,Associate,True,Member
A0661,E146,2022-06-02,2024-10-25,Annual Meeting,New York,Topic 1,Senior,North East,Credentialed,False,Member
A0586,E109,2023-07-09,2024-04-05,Webinar,Online,Topic 13,Executive,International,Credentialed,False,Member
A0496,E101,2022-03-15,2023-05-31,Webinar,Online,Topic 16,Entry-Level,International,Associate,True,Member
A0014,E177,2022-05-13,2024-12-15,Local Chapter Event,Miami,Topic 17,Senior,South,Credentialed,False,Member
A0338,E148,2023-07-14,2024-05-02,Webinar,Online,Topic 17,Entry-Level,Mid-West,Credentialed,False,Member
A0107,E108,2022-03-21,2024-10-18,Webinar,Online,Topic 9,Mid-Career,North East,Credentialed,False,Member
A0155,E015,2022-09-05,2024-10-22,Workshop,Chicago,Topic 4,Senior,North East,Credentialed,False,Member
A0531,E090,2022-06-04,2023-10-19,Workshop,San Francisco,Topic 5,Mid-Career,West,Associate,False,Member
A0154,E174,2022-12-05,2023-10-07,Workshop,Chicago,Topic 14,Mid-Career,South,Non-Member,False,Non-Member
A0787,E017,2022-03-18,2022-06-11,Workshop,Houston,Topic 14,Mid-Career,South,Credentialed,False,Member
A0177,E184,2022-01-12,2022-01-28,Annual Meeting,New York,Topic 17,Executive,International,Non-Member,True,Non-Member
A0049,E055,2023-12-14,2024-10-13,Workshop,New York,Topic 2,Executive,Mid-West,Associate,True,Member
A0308,E100,2022-09-21,2023-03-18,Workshop,Miami,Topic 13,Student,North East,Credentialed,False,Member
A0046,E046,2022-01-25,2022-05-03,Seminar,Miami,Topic 2,Entry-Level,North East,Non-Member,True,Non-Member
A0189,E054,2022-02-19,2022-09-20,Webinar,Online,Topic 16,Entry-Level,Mid-West,Non-Member,True,Non-Member
A0442,E200,2022-05-15,2024-04-15,Workshop,New York,Topic 17,Senior,South,Credentialed,False,Member
A0811,E154,2022-07-19,2023-12-18,Seminar,New York,Topic 17,Student,Mid-West,Non-Member,False,Non-Member
A0161,E026,2022-08-01,2022-08-19,Webinar,Online,Topic 7,Mid-Career,Mid-West,Associate,True,Member
A0575,E195,2024-02-05,2024-07-08,Seminar,Chicago,Topic 11,Student,South,Non-Member,False,Non-Member
A0922,E002,2022-01-31,2022-05-02,Seminar,San Francisco,Topic 11,Entry-Level,North East,Non-Member,False,Non-Member
A0561,E140,2023-08-14,2023-11-07,Workshop,Chicago,Topic 18,Student,North East,Credentialed,True,Member
A0728,E126,2022-01-27,2022-01-29,Annual Meeting,San Francisco,Topic 8,Mid-Career,International,Credentialed,True,Member
A0661,E156,2022-03-08,2022-06-03,Workshop,San Francisco,Topic 18,Senior,North East,Credentialed,True,Member
A0746,E087,2022-01-02,2022-01-05,Workshop,Miami,Topic 15,Entry-Level,South,Credentialed,True,Member
A0337,E048,2022-03-26,2022-07-06,Seminar,Miami,Topic 3,Executive,International,Associate,True,Member
A0276,E187,2022-07-03,2022-08-21,Workshop,Houston,Topic 15,Executive,West,Associate,True,Member
A0268,E040,2023-09-05,2023-11-15,Seminar,San Francisco,Topic 9,Mid-Career,West,Credentialed,False,Member
A0078,E016,2023-07-11,2023-12-04,Webinar,Online,Topic 12,Entry-Level,Mid-West,Non-Member,False,Non-Member
A0509,E134,2022-12-23,2024-04-03,Workshop,Miami,Topic 6,Entry-Level,North East,Associate,False,Member
A0278,E018,2022-05-04,2024-03-26,Workshop,Houston,Topic 8,Mid-Career,West,Credentialed,False,Member
A0246,E117,2022-03-13,2023-03-31,Local Chapter Event,Houston,Topic 19,Mid-Career,West,Associate,True,Member
A0480,E048,2022-03-26,2022-07-06,Seminar,Miami,Topic 3,Executive,International,Associate,False,Member
A0387,E122,2023-11-25,2024-01-03,Workshop,Chicago,Topic 15,Student,Mid-West,Credentialed,False,Member
A0293,E009,2022-04-04,2024-04-11,Workshop,Miami,Topic 19,Entry-Level,West,Credentialed,False,Member
A0966,E017,2022-03-14,2022-06-11,Workshop,Houston,Topic 14,Student,International,Non-Member,True,Non-Member
A0149,E121,2024-04-20,2024-07-23,Local Chapter Event,Chicago,Topic 5,Entry-Level,Mid-West,Associate,False,Member
A0618,E125,2022-01-15,2022-06-19,Workshop,San Francisco,Topic 2,Student,Mid-West,Credentialed,True,Member
A0503,E014,2022-01-07,2022-02-04,Local Chapter Event,Houston,Topic 18,Executive,West,Associate,True,Member
A0364,E119,2023-06-07,2024-11-14,Webinar,Online,Topic 4,Student,West,Credentialed,False,Member
A0735,E115,2023-06-01,2023-11-30,Annual Meeting,Houston,Topic 12,Entry-Level,Mid-West,Credentialed,False,Member
A0938,E141,2022-03-27,2023-06-24,Annual Meeting,New York,Topic 4,Student,South,Non-Member,True,Non-Member
A0214,E121,2022-07-17,2024-07-23,Local Chapter Event,Chicago,Topic 5,Student,International,Credentialed,False,Member
A0019,E130,2022-01-11,2022-02-08,Workshop,Miami,Topic 13,Senior,Mid-West,Associate,True,Member
A0267,E191,2022-05-21,2022-11-11,Local Chapter Event,Miami,Topic 1,Mid-Career,South,Associate,False,Member
A0841,E002,2022-01-12,2022-05-02,Seminar,San Francisco,Topic 11,Entry-Level,Mid-West,Non-Member,True,Non-Member
A0636,E053,2022-04-23,2022-05-31,Workshop,Chicago,Topic 3,Mid-Career,North East,Non-Member,True,Non-Member
A0253,E014,2022-01-19,2022-02-04,Local Chapter Event,Houston,Topic 18,Entry-Level,Mid-West,Associate,True,Member
A0981,E086,2022-11-03,2023-03-20,Workshop,Miami,Topic 12,Executive,International,Non-Member,False,Non-Member
A0478,E167,2024-05-05,2024-09-10,Annual Meeting,Miami,Topic 2,Mid-Career,International,Credentialed,False,Member
A0135,E137,2022-02-08,2022-02-16,Webinar,Online,Topic 14,Mid-Career,North East,Credentialed,True,Member
A0294,E189,2023-07-11,2024-01-18,Seminar,New York,Topic 5,Mid-Career,West,Associate,False,Member
A0842,E119,2022-08-31,2024-11-14,Webinar,Online,Topic 4,Student,International,Non-Member,False,Non-Member
A0294,E152,2022-05-01,2023-11-08,Webinar,Online,Topic 19,Mid-Career,West,Associate,True,Member
A0712,E149,2022-03-27,2022-04-15,Workshop,New York,Topic 16,Senior,Mid-West,Associate,False,Member
A0057,E126,2022-01-02,2022-01-29,Annual Meeting,San Francisco,Topic 8,Entry-Level,North East,Credentialed,False,Member
A0110,E180,2022-08-23,2022-12-31,Annual Meeting,San Francisco,Topic 19,Entry-Level,South,Non-Member,False,Non-Member
A0057,E180,2022-12-10,2022-12-31,Annual Meeting,San Francisco,Topic 19,Entry-Level,North East,Credentialed,False,Member
A0477,E031,2022-10-17,2024-10-25,Webinar,Online,Topic 14,Mid-Career,Mid-West,Non-Member,False,Non-Member
A0213,E002,2022-02-03,2022-05-02,Seminar,San Francisco,Topic 11,Mid-Career,North East,Non-Member,True,Non-Member
A0229,E084,2023-02-07,2023-07-29,Local Chapter Event,Chicago,Topic 17,Senior,South,Credentialed,False,Member
A0622,E088,2023-06-27,2024-05-16,Webinar,Online,Topic 16,Student,Mid-West,Credentialed,False,Member
A0684,E053,2022-05-20,2022-05-31,Workshop,Chicago,Topic 3,Mid-Career,North East,Credentialed,True,Member
A0194,E186,2022-01-02,2022-01-25,Webinar,Online,Topic 3,Entry-Level,Mid-West,Non-Member,True,Non-Member
A0943,E013,2024-04-16,2024-08-13,Seminar,Miami,Topic 8,Student,North East,Associate,False,Member
A0042,E147,2022-04-05,2022-05-26,Local Chapter Event,New York,Topic 11,Senior,North East,Non-Member,False,Non-Member
A0275,E186,2022-01-23,2022-01-25,Webinar,Online,Topic 3,Senior,North East,Credentialed,True,Member
A0904,E018,2022-01-06,2024-03-26,Workshop,Houston,Topic 8,Mid-Career,North East,Credentialed,False,Member
A0797,E003,2022-02-28,2022-03-29,Workshop,San Francisco,Topic 2,Mid-Career,North East,Non-Member,True,Non-Member
A0250,E076,2022-04-19,2023-11-17,Annual Meeting,Chicago,Topic 10,Student,North East,Non-Member,True,Non-Member
A0668,E082,2023-04-06,2023-04-16,Annual Meeting,Chicago,Topic 2,Student,International,Credentialed,False,Member
A0258,E127,2022-10-10,2023-05-15,Seminar,New York,Topic 13,Senior,West,Associate,False,Member
A0986,E088,2022-06-01,2024-05-16,Webinar,Online,Topic 16,Entry-Level,International,Associate,False,Member
A0936,E188,2022-01-16,2022-02-03,Webinar,Online,Topic 8,Senior,West,Non-Member,True,Non-Member
A0997,E141,2022-11-27,2023-06-24,Annual Meeting,New York,Topic 4,Senior,South,Associate,True,Member
A0820,E077,2023-01-02,2024-02-24,Webinar,Online,Topic 9,Senior,Mid-West,Associate,False,Member
A0178,E143,2022-05-08,2023-04-06,Webinar,Online,Topic 13,Entry-Level,West,Credentialed,True,Member
A0775,E040,2022-12-22,2023-11-15,Seminar,San Francisco,Topic 9,Student,South,Credentialed,False,Member
A0255,E143,2022-12-08,2023-04-06,Webinar,Online,Topic 13,Entry-Level,South,Non-Member,False,Non-Member
A0710,E065,2022-04-19,2023-02-05,Workshop,Houston,Topic 19,Mid-Career,North East,Non-Member,True,Non-Member
A0026,E189,2022-08-10,2024-01-18,Seminar,New York,Topic 5,Student,West,Associate,False,Member
A0853,E168,2022-05-04,2022-07-24,Seminar,San Francisco,Topic 16,Executive,South,Associate,True,Member
A0144,E189,2023-09-09,2024-01-18,Seminar,New York,Topic 5,Mid-Career,International,Credentialed,True,Member
A0336,E159,2023-02-14,2023-09-16,Workshop,Miami,Topic 14,Entry-Level,West,Credentialed,False,Member
A0300,E140,2022-09-14,2023-11-07,Workshop,Chicago,Topic 18,Student,International,Associate,False,Member
A0353,E009,2024-01-27,2024-04-11,Workshop,Miami,Topic 19,Entry-Level,North East,Credentialed,False,Member
A0694,E028,2022-07-17,2024-11-22,Annual Meeting,Miami,Topic 3,Executive,North East,Non-Member,False,Non-Member
A0482,E110,2022-04-14,2023-02-17,Annual Meeting,New York,Topic 4,Executive,West,Credentialed,False,Member
A0618,E109,2023-08-14,2024-04-05,Webinar,Online,Topic 13,Student,Mid-West,Credentialed,False,Member
A0075,E042,2022-07-01,2024-08-09,Annual Meeting,New York,Topic 2,Student,International,Credentialed,False,Member
A0545,E071,2022-01-09,2022-01-17,Local Chapter Event,Miami,Topic 14,Senior,International,Non-Member,True,Non-Member
A0101,E051,2023-01-13,2024-07-17,Workshop,Chicago,Topic 8,Entry-Level,International,Associate,False,Member
A0655,E166,2022-03-25,2022-07-03,Webinar,Online,Topic 17,Mid-Career,South,Non-Member,True,Non-Member
A0182,E051,2022-01-05,2024-07-17,Workshop,Chicago,Topic 8,Executive,International,Associate,True,Member
A0863,E146,2024-03-15,2024-10-25,Annual Meeting,New York,Topic 1,Entry-Level,North East,Associate,True,Member
A0281,E098,2022-01-10,2022-12-23,Workshop,Chicago,Topic 5,Mid-Career,North East,Credentialed,False,Member
A0573,E053,2022-03-05,2022-05-31,Workshop,Chicago,Topic 3,Mid-Career,International,Associate,True,Member
A0633,E105,2023-03-06,2024-12-02,Seminar,Miami,Topic 12,Mid-Career,International,Associate,False,Member
A0434,E028,2023-08-12,2024-11-22,Annual Meeting,Miami,Topic 3,Senior,South,Credentialed,False,Member
A0628,E069,2023-05-29,2024-08-17,Local Chapter Event,Houston,Topic 16,Senior,South,Non-Member,False,Non-Member
A0167,E096,2023-01-04,2024-12-28,Annual Meeting,Houston,Topic 5,Senior,International,Non-Member,False,Non-Member
A0251,E091,2022-02-16,2022-04-27,Annual Meeting,New York,Topic 12,Student,International,Credentialed,True,Member
A0170,E167,2023-03-23,2024-09-10,Annual Meeting,Miami,Topic 2,Executive,Mid-West,Non-Member,False,Non-Member
A0294,E151,2023-03-10,2024-02-10,Webinar,Online,Topic 5,Mid-Career,West,Associate,False,Member
A0059,E068,2023-07-16,2024-03-08,Webinar,Online,Topic 15,Senior,International,Associate,False,Member
A0472,E126,2022-01-16,2022-01-29,Annual Meeting,San Francisco,Topic 8,Senior,Mid-West,Credentialed,True,Member
A0168,E048,2022-04-09,2022-07-06,Seminar,Miami,Topic 3,Senior,South,Non-Member,True,Non-Member
A0951,E177,2023-11-29,2024-12-15,Local Chapter Event,Miami,Topic 17,Mid-Career,Mid-West,Credentialed,True,Member
A0367,E143,2023-03-25,2023-04-06,Webinar,Online,Topic 13,Senior,International,Credentialed,False,Member
A0478,E158,2022-08-03,2023-01-24,Annual Meeting,San Francisco,Topic 17,Mid-Career,International,Credentialed,False,Member
A0369,E086,2022-08-31,2023-03-20,Workshop,Miami,Topic 12,Mid-Career,Mid-West,Associate,True,Member
A0824,E196,2022-01-02,2022-01-04,Annual Meeting,New York,Topic 6,Mid-Career,International,Non-Member,True,Non-Member
A0415,E186,2022-01-22,2022-01-25,Webinar,Online,Topic 3,Entry-Level,North East,Credentialed,True,Member
A0084,E151,2022-06-15,2024-02-10,Webinar,Online,Topic 5,Mid-Career,North East,Associate,False,Member
A0917,E145,2022-11-30,2023-03-26,Annual Meeting,Chicago,Topic 13,Mid-Career,South,Associate,True,Member
A0403,E158,2022-07-26,2023-01-24,Annual Meeting,San Francisco,Topic 17,Senior,South,Credentialed,True,Member
A0062,E164,2024-03-31,2024-09-10,Local Chapter Event,Chicago,Topic 19,Mid-Career,Mid-West,Associate,False,Member
A0019,E109,2024-02-01,2024-04-05,Webinar,Online,Topic 13,Senior,Mid-West,Associate,False,Member
A0428,E117,2022-02-04,2023-03-31,Local Chapter Event,Houston,Topic 19,Mid-Career,International,Credentialed,False,Member
A0706,E069,2022-02-12,2024-08-17,Local Chapter Event,Houston,Topic 16,Mid-Career,West,Associate,False,Member
A0297,E197,2023-06-07,2024-08-04,Webinar,Online,Topic 2,Student,International,Non-Member,False,Non-Member
A0358,E188,2022-01-22,2022-02-03,Webinar,Online,Topic 8,Entry-Level,West,Associate,True,Member
A0392,E193,2022-08-20,2022-12-16,Seminar,New York,Topic 3,Executive,Mid-West,Associate,True,Member
A0078,E085,2022-02-19,2023-11-13,Webinar,Online,Topic 11,Entry-Level,Mid-West,Non-Member,False,Non-Member
A0777,E145,2022-07-05,2023-03-26,Annual Meeting,Chicago,Topic 13,Student,International,Credentialed,True,Member
A0574,E052,2022-06-21,2023-10-03,Webinar,Online,Topic 18,Mid-Career,International,Credentialed,True,Member
A0575,E147,2022-05-22,2022-05-26,Local Chapter Event,New York,Topic 11,Student,South,Non-Member,True,Non-Member
A0846,E097,2023-07-10,2024-06-30,Annual Meeting,Miami,Topic 7,Entry-Level,South,Associate,False,Member
A0945,E036,2022-09-24,2023-08-01,Webinar,Online,Topic 6,Senior,Mid-West,Non-Member,False,Non-Member
A0095,E006,2022-03-13,2023-04-05,Webinar,Online,Topic 12,Mid-Career,West,Non-Member,False,Non-Member
A0954,E021,2022-03-22,2024-11-30,Seminar,Miami,Topic 1,Mid-Career,Mid-West,Associate,False,Member
A0824,E116,2022-07-02,2023-03-21,Local Chapter Event,Houston,Topic 9,Mid-Career,International,Non-Member,False,Non-Member
A0025,E156,2022-01-22,2022-06-03,Workshop,San Francisco,Topic 18,Entry-Level,International,Non-Member,True,Non-Member
A0530,E175,2022-01-20,2023-06-30,Seminar,Chicago,Topic 13,Student,Mid-West,Credentialed,False,Member
A0384,E097,2023-01-23,2024-06-30,Annual Meeting,Miami,Topic 7,Entry-Level,International,Non-Member,False,Non-Member
A0426,E021,2023-07-07,2024-11-30,Seminar,Miami,Topic 1,Entry-Level,South,Non-Member,False,Non-Member
A0323,E153,2022-02-25,2023-04-02,Seminar,San Francisco,Topic 13,Mid-Career,Mid-West,Associate,True,Member
A0980,E180,2022-12-21,2022-12-31,Annual Meeting,San Francisco,Topic 19,Entry-Level,South,Credentialed,True,Member
A0981,E184,2022-01-24,2022-01-28,Annual Meeting,New York,Topic 17,Executive,International,Non-Member,True,Non-Member
A0198,E115,2023-05-13,2023-11-30,Annual Meeting,Houston,Topic 12,Entry-Level,North East,Credentialed,False,Member
A0599,E081,2022-10-03,2023-11-16,Seminar,Houston,Topic 19,Mid-Career,South,Associate,False,Member
A0211,E135,2022-02-12,2022-02-27,Annual Meeting,Miami,Topic 15,Executive,West,Non-Member,False,Non-Member
A0042,E059,2022-01-18,2023-09-20,Annual Meeting,Houston,Topic 6,Senior,North East,Non-Member,False,Non-Member
A0283,E175,2022-01-20,2023-06-30,Seminar,Chicago,Topic 13,Senior,Mid-West,Non-Member,False,Non-Member
A0529,E069,2023-01-09,2024-08-17,Local Chapter Event,Houston,Topic 16,Mid-Career,South,Associate,False,Member
A0758,E199,2022-02-06,2022-06-22,Webinar,Online,Topic 6,Senior,North East,Associate,True,Member
A0670,E196,2022-01-02,2022-01-04,Annual Meeting,New York,Topic 6,Mid-Career,Mid-West,Credentialed,True,Member
A0969,E196,2022-01-02,2022-01-04,Annual Meeting,New York,Topic 6,Senior,International,Associate,True,Member
A0014,E069,2022-02-27,2024-08-17,Local Chapter Event,Houston,Topic 16,Senior,South,Credentialed,False,Member
A0723,E012,2022-12-11,2023-07-19,Seminar,Houston,Topic 15,Entry-Level,International,Credentialed,False,Member
A0335,E032,2022-09-29,2024-05-20,Annual Meeting,Chicago,Topic 10,Mid-Career,Mid-West,Associate,False,Member
A0924,E152,2023-02-24,2023-11-08,Webinar,Online,Topic 19,Mid-Career,South,Associate,True,Member
A0726,E027,2022-03-18,2022-07-20,Webinar,Online,Topic 2,Mid-Career,West,Non-Member,True,Non-Member
A0522,E047,2022-04-07,2022-07-17,Workshop,New York,Topic 9,Mid-Career,International,Credentialed,True,Member
A0958,E103,2022-05-27,2023-11-21,Webinar,Online,Topic 1,Executive,North East,Credentialed,True,Member
A0679,E177,2023-03-05,2024-12-15,Local Chapter Event,Miami,Topic 17,Mid-Career,Mid-West,Non-Member,False,Non-Member
A0584,E054,2022-06-12,2022-09-20,Webinar,Online,Topic 16,Mid-Career,International,Associate,True,Member
A0839,E164,2022-02-08,2024-09-10,Local Chapter Event,Chicago,Topic 19,Mid-Career,South,Non-Member,False,Non-Member
A0955,E137,2022-01-09,2022-02-16,Webinar,Online,Topic 14,Executive,West,Non-Member,True,Non-Member
A0255,E179,2023-01-25,2023-12-20,Workshop,Chicago,Topic 14,Entry-Level,South,Non-Member,False,Non-Member
A0398,E158,2022-07-24,2023-01-24,Annual Meeting,San Francisco,Topic 17,Executive,International,Credentialed,False,Member
A0194,E150,2024-03-27,2024-04-02,Local Chapter Event,New York,Topic 5,Entry-Level,Mid-West,Non-Member,False,Non-Member
A0404,E125,2022-03-10,2022-06-19,Workshop,San Francisco,Topic 2,Entry-Level,International,Associate,False,Member
A0463,E088,2022-05-16,2024-05-16,Webinar,Online,Topic 16,Entry-Level,Mid-West,Non-Member,False,Non-Member
A0697,E095,2022-05-14,2022-06-03,Workshop,Miami,Topic 14,Student,West,Non-Member,True,Non-Member
A0620,E178,2023-01-16,2024-11-15,Local Chapter Event,New York,Topic 3,Student,South,Credentialed,False,Member
A0908,E103,2023-08-10,2023-11-21,Webinar,Online,Topic 1,Senior,International,Non-Member,False,Non-Member
A0463,E108,2022-07-16,2024-10-18,Webinar,Online,Topic 9,Entry-Level,Mid-West,Non-Member,False,Non-Member
A0710,E045,2023-02-23,2023-12-31,Local Chapter Event,Houston,Topic 11,Mid-Career,North East,Non-Member,False,Non-Member
A0556,E015,2023-11-22,2024-10-22,Workshop,Chicago,Topic 4,Entry-Level,West,Associate,False,Member
A0357,E160,2022-08-03,2023-08-01,Webinar,Online,Topic 7,Student,South,Associate,True,Member
A0854,E074,2023-05-25,2023-12-01,Local Chapter Event,Miami,Topic 1,Senior,North East,Associate,True,Member
A0332,E093,2023-06-04,2024-03-12,Seminar,New York,Topic 8,Mid-Career,South,Associate,True,Member
A0269,E120,2022-05-19,2023-07-23,Seminar,Miami,Topic 10,Student,West,Non-Member,False,Non-Member
A0231,E088,2023-10-09,2024-05-16,Webinar,Online,Topic 16,Executive,North East,Associate,False,Member
A0723,E069,2024-06-24,2024-08-17,Local Chapter Event,Houston,Topic 16,Entry-Level,International,Credentialed,False,Member
A0731,E021,2022-06-02,2024-11-30,Seminar,Miami,Topic 1,Senior,West,Credentialed,False,Member
A0955,E003,2022-02-10,2022-03-29,Workshop,San Francisco,Topic 2,Executive,West,Non-Member,False,Non-Member
A0688,E054,2022-02-26,2022-09-20,Webinar,Online,Topic 16,Executive,International,Non-Member,True,Non-Member
A0846,E141,2023-02-25,2023-06-24,Annual Meeting,New York,Topic 4,Entry-Level,South,Associate,False,Member
A0744,E099,2024-02-10,2024-03-12,Seminar,Chicago,Topic 19,Mid-Career,International,Non-Member,False,Non-Member
A0761,E077,2022-12-15,2024-02-24,Webinar,Online,Topic 9,Student,International,Credentialed,False,Member
A0171,E022,2023-03-16,2023-06-05,Webinar,Online,Topic 12,Senior,International,Credentialed,False,Member
A0835,E188,2022-01-25,2022-02-03,Webinar,Online,Topic 8,Student,South,Credentialed,True,Member
A0581,E084,2022-01-14,2023-07-29,Local Chapter Event,Chicago,Topic 17,Mid-Career,South,Associate,False,Member
A0809,E057,2024-08-28,2024-11-26,Local Chapter Event,New York,Topic 9,Mid-Career,Mid-West,Associate,False,Member
A0353,E057,2023-10-03,2024-11-26,Local Chapter Event,New York,Topic 9,Entry-Level,North East,Credentialed,False,Member
A0173,E035,2023-06-02,2023-06-25,Seminar,San Francisco,Topic 19,Executive,North East,Credentialed,False,Member
A0730,E011,2022-04-28,2023-08-24,Local Chapter Event,Chicago,Topic 9,Executive,Mid-West,Associate,True,Member
A0184,E138,2022-06-12,2023-10-18,Webinar,Online,Topic 11,Student,South,Non-Member,False,Non-Member
A0839,E066,2023-03-24,2023-04-15,Seminar,Miami,Topic 19,Mid-Career,South,Non-Member,True,Non-Member
A0416,E020,2023-04-10,2024-12-12,Webinar,Online,Topic 13,Mid-Career,Mid-West,Associate,False,Member
A0395,E070,2022-04-02,2023-10-21,Webinar,Online,Topic 17,Mid-Career,South,Associate,True,Member
A0750,E070,2022-08-03,2023-10-21,Webinar,Online,Topic 17,Mid-Career,North East,Credentialed,True,Member
A0852,E089,2022-03-14,2022-09-26,Local Chapter Event,Chicago,Topic 19,Mid-Career,International,Credentialed,True,Member
A0677,E049,2023-09-19,2023-10-22,Workshop,Houston,Topic 19,Entry-Level,Mid-West,Associate,False,Member
A0239,E133,2022-06-16,2024-10-21,Webinar,Online,Topic 17,Mid-Career,Mid-West,Non-Member,False,Non-Member
A0374,E117,2022-09-01,2023-03-31,Local Chapter Event,Houston,Topic 19,Mid-Career,North East,Associate,True,Member
A0479,E064,2023-11-14,2024-03-11,Workshop,Houston,Topic 8,Mid-Career,North East,Associate,False,Member
A0635,E176,2022-03-29,2024-03-04,Webinar,Online,Topic 15,Senior,South,Non-Member,False,Non-Member
A0668,E002,2022-02-11,2022-05-02,Seminar,San Francisco,Topic 11,Student,International,Credentialed,True,Member
A0464,E059,2022-04-03,2023-09-20,Annual Meeting,Houston,Topic 6,Senior,International,Associate,False,Member
A0181,E045,2022-07-09,2023-12-31,Local Chapter Event,Houston,Topic 11,Student,Mid-West,Non-Member,True,Non-Member
A0519,E170,2022-07-07,2024-06-18,Seminar,New York,Topic 3,Entry-Level,North East,Non-Member,False,Non-Member
A0550,E197,2024-01-09,2024-08-04,Webinar,Online,Topic 2,Mid-Career,North East,Non-Member,False,Non-Member
A0565,E143,2022-02-18,2023-04-06,Webinar,Online,Topic 13,Mid-Career,International,Associate,False,Member
A0351,E147,2022-04-04,2022-05-26,Local Chapter Event,New York,Topic 11,Mid-Career,South,Non-Member,True,Non-Member
A0772,E126,2022-01-21,2022-01-29,Annual Meeting,San Francisco,Topic 8,Entry-Level,West,Associate,True,Member
A0523,E097,2022-07-23,2024-06-30,Annual Meeting,Miami,Topic 7,Senior,West,Credentialed,False,Member
A0411,E021,2022-03-08,2024-11-30,Seminar,Miami,Topic 1,Student,South,Non-Member,True,Non-Member
A0603,E164,2022-12-05,2024-09-10,Local Chapter Event,Chicago,Topic 19,Senior,West,Associate,False,Member
A0123,E193,2022-10-19,2022-12-16,Seminar,New York,Topic 3,Mid-Career,South,Associate,False,Member
A0671,E156,2022-01-26,2022-06-03,Workshop,San Francisco,Topic 18,Mid-Career,Mid-West,Credentialed,True,Member
A0043,E084,2022-02-21,2023-07-29,Local Chapter Event,Chicago,Topic 17,Mid-Career,International,Non-Member,True,Non-Member
A0898,E126,2022-01-11,2022-01-29,Annual Meeting,San Francisco,Topic 8,Senior,International,Credentialed,True,Member
A0581,E009,2022-07-08,2024-04-11,Workshop,Miami,Topic 19,Mid-Career,South,Associate,False,Member
A0230,E189,2022-04-25,2024-01-18,Seminar,New York,Topic 5,Student,South,Credentialed,False,Member
A0076,E164,2022-02-19,2024-09-10,Local Chapter Event,Chicago,Topic 19,Entry-Level,West,Associate,False,Member
A0495,E070,2023-01-23,2023-10-21,Webinar,Online,Topic 17,Entry-Level,West,Associate,False,Member
A0970,E133,2023-12-03,2024-10-21,Webinar,Online,Topic 17,Mid-Career,Mid-West,Non-Member,False,Non-Member
A0981,E090,2022-08-25,2023-10-19,Workshop,San Francisco,Topic 5,Executive,International,Non-Member,False,Non-Member
A0026,E072,2022-09-29,2023-06-02,Workshop,New York,Topic 5,Student,West,Associate,False,Member
A0948,E047,2022-05-01,2022-07-17,Workshop,New York,Topic 9,Senior,International,Credentialed,False,Member
A0208,E055,2024-04-14,2024-10-13,Workshop,New York,Topic 2,Entry-Level,South,Associate,False,Member
A0438,E155,2022-07-06,2023-05-03,Webinar,Online,Topic 8,Senior,International,Credentialed,True,Member
A0830,E102,2022-05-20,2022-09-15,Annual Meeting,San Francisco,Topic 12,Executive,South,Credentialed,False,Member
A0456,E008,2022-07-19,2023-12-01,Workshop,San Francisco,Topic 12,Mid-Career,North East,Associate,False,Member
A0832,E021,2024-10-11,2024-11-30,Seminar,Miami,Topic 1,Student,International,Credentialed,False,Member
A0959,E085,2022-09-22,2023-11-13,Webinar,Online,Topic 11,Mid-Career,South,Non-Member,False,Non-Member
A0058,E046,2022-04-04,2022-05-03,Seminar,Miami,Topic 2,Entry-Level,South,Credentialed,True,Member
A0777,E015,2023-01-30,2024-10-22,Workshop,Chicago,Topic 4,Student,International,Credentialed,False,Member
